Latitude,Longitude
1.28468,103.85070
1.28135,103.84909
1.28077,103.85266
1.28425,103.84278
1.27488,103.84495
1.27761,103.84341
1.28325,103.81420
1.30178,103.79937
1.28614,103.83107
1.26618,103.82339
1.26478,103.81914
1.29073,103.77211
1.31561,103.75704
1.32209,103.76893
1.29045,103.84936
1.30027,103.86187
1.30124,103.86326
1.30275,103.86516
1.30758,103.85148
1.31244,103.85394
1.31045,103.85839
1.30783,103.86274
1.30200,103.83658
1.30803,103.83618
1.29301,103.82949
1.30980,103.82754
1.32029,103.82348
1.31105,103.79563
1.30559,103.82314
1.33202,103.80944
1.31984,103.84403
1.33277,103.84120
1.32498,103.85154
1.34361,103.84692
1.31120,103.85567
1.33252,103.88623
1.34299,103.85206
1.33348,103.86728
1.33401,103.87043
1.31488,103.88541
1.31823,103.89785
1.32327,103.88175
1.30618,103.89612
1.31588,103.89838
1.30233,103.90257
1.33145,103.94713
1.31248,103.93315
1.32118,103.95680
1.31934,103.95303
1.36433,103.96647
1.31922,103.91390
1.33955,103.95102
1.33594,103.94898
1.36801,103.95191
1.36661,103.86812
1.37286,103.89965
1.39840,103.90720
1.35054,103.85137
1.36930,103.84847
1.35986,103.76758
1.32960,103.76669
1.32180,103.77328
1.31498,103.73134
1.32908,103.67698
1.32925,103.69627
1.30850,103.65169
1.35776,103.76801
1.36531,103.77071
1.38586,103.76174
1.37812,103.75844
1.38464,103.70274
1.35842,103.73508
1.43600,103.75433
1.42990,103.78236
1.39708,103.75361
1.35530,103.83217
1.39718,103.82191
1.42789,103.84754
1.42776,103.82644
1.46203,103.79462
1.40285,103.86534
